"","area","iso_code","area_name","date","people_vaccinated","population","mortality_rate","vax","annual_passengers","tests_per_day","r_d_D","I","IV","E","EV","SV","S"
"1",1,"SYC","Seychelles","2021-06-01",70446,98910,0.0034447123665174,0.712223233242341,149489,0,3.5,133.816052653928,331.183447346072,191.165789505611,1655.91723673036,68458.8993159236,28139.0181578405
"2",1,"NRU","Nauru","2021-06-01",7392,10873,0.01,0.679849167663019,9356,0,3.5,0,0,0,0,7392,3481
"3",1,"MLT","Malta","2021-06-01",319574,516100,0.0137183642733196,0.619209455531874,549318.545,2735.62777777778,3.44252085757943,6.36694120548958,10.3533825997737,9.24749837240845,51.7669129988685,319511.879704401,196510.385560422
"4",1,"ABW","Aruba","2021-06-01",63277,107195,0.00973346675156918,0.590298054946593,274280,0,3.5,11.6767102849946,16.8237897150054,16.6810146928495,84.1189485750268,63176.05726171,43889.6422750221
"5",1,"ISR","Israel","2021-06-01",5478474,9291000,0.00763897078180036,0.589653858572812,1249361,56091.1,3.4346826337007,24.5645853785365,35.298498244233,35.7596144946723,176.492491221165,5478262.20901053,3812465.67580013
"6",1,"CAN","Canada","2021-06-01",22136440,38067913,0.0188686037578811,0.581498649531956,27620000,112619.633333333,3.46768492080107,3565.88165652872,4954.71607282319,5141.5883189655,24773.5803641159,22106711.7035631,15922765.5300245
"7",1,"GBR","United Kingdom","2021-06-01",39585665,68207114,0.0284498705307062,0.580374431323982,30967519.53,762236.502824859,3.38098177937821,4687.74099246385,6483.50628699621,6932.51442680942,32417.531434981,39546763.962278,28609828.7445807
"8",1,"MDV","Maldives","2021-06-01",310405,543620,0.01,0.570996284169089,893407.835,3583.10555555556,3.42881013533115,1432.93735846074,1907.21403320115,2089.55483375336,9536.07016600577,298961.715800793,229692.507807786
"9",1,"CHL","Chile","2021-06-01",10882218,19212362,0.0211205615259433,0.566417497234333,8019753,52521.2722222222,3.47011802647886,10733.2609505884,14021.5685965562,15465.2678506724,70107.8429827808,10798088.5884207,8303945.47119874
"10",1,"BHR","Bahrain","2021-06-01",957173,1748295,0.00415585485398904,0.547489411111969,1451359,14132.701986755,3.41309018931393,4231.15632398999,5119.24657903897,6198.42443255286,25596.2328951949,926457.520525766,780692.419243457
"11",1,"HUN","Hungary","2021-06-01",5206951,9634162,0.0369834176699241,0.540467453214924,14597294,20512.5333333333,3.47668255573614,502.573977267646,591.089530972829,722.77806387364,2955.44765486414,5203404.46281416,4425985.64795886
